"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"104",74869,0.4146206,0.2550553,0.4428716,0.643,0.7287581,0.09430052,0.3353414,0.00708,0.137,0.6633166,0.4535222,0.00164922,0
"105",134378,0.7157367,0.0652747,0.4954499,0.875,0.8311403,0.05968912,0.3333333,0.0115,0.471,0.4552764,0.5750215,0.003994664,1
"106",96282,0.5159137,0.05194264,0.744186,0.479,0.85041,0.03378238,0.2309237,4.08e-06,0.111,0.8170854,0.3521577,0.002821054,1
"107",141101,0.7510002,0.04812037,0.6400404,0.713,0.854027,0.07502591,0.2269076,0,0.131,0.3055276,0.390915,0.006744247,1
"108",173941,0.9209746,0.0392404,0.6572295,0.919,0.8531539,0.07409326,0.07831325,0.917,0.118,0.03929648,0.5845573,0.008099265,1
"109",82689,0.4570369,0.08826142,0.6835187,0.386,0.7506158,0.173057,0.1676707,0.000921,0.199,0.5959799,0.4045429,0.008627819,1
"110",31933,0.1825672,0.05863091,0.4448938,0.503,0.7264195,0.04176166,0.6425703,0.504,0.112,0.5015075,0.529643,0.003101819,0
"111",128994,0.6836574,0.05670671,0.3417594,0.23,0.6936641,0.03450777,0.9427711,0.777,0.206,0.1547739,0.3636506,0.002647243,0
"112",101359,0.5512708,0.05381123,0.4368049,0.429,0.8339154,0.06010363,0.2961847,0,0.293,0.1417085,0.6001127,0.004850603,0
"113",101061,0.5501626,0.06913061,0.5965622,0.458,0.7575068,0.08,0.09869478,0,0.0727,0.5658291,0.3245417,0.005063174,1
"114",60138,0.3332098,0.04246232,0.6804853,0.62,0.8032646,0.03036269,0.4568273,0,0.0925,0.9477387,0.5069241,0.003077757,1
"115",105090,0.5659972,0.06322815,0.6744186,0.566,0.7812822,0.03803109,0.04829317,0.000211,0.104,0.5276382,0.4247794,0.002625234,1
"116",155432,0.8247726,0.05051089,0.851365,0.81,0.8893237,0.1481865,0.01425703,0.629,0.341,0.9346734,0.5506971,0.01271283,1
"117",78162,0.4327795,0.08654493,0.6885743,0.831,0.8503477,0.03139896,0.1134538,4.66e-05,0.0657,0.3467337,0.4870859,0.001595799,1
"118",147895,0.7845763,0.09361888,0.6107179,0.995,0.8786598,0.1699482,0.003072289,0.626,0.109,0.2633166,0.5770422,0.007997429,1
"119",98455,0.5385125,0.07996399,0.7664307,0.623,0.7699323,0.04590674,0.1395582,0.0468,0.169,0.9688442,0.5183069,0.002520771,1
"120",187003,0.9892817,0.06321702,0.3437816,0.336,0.8218016,0.02994819,0.7680723,0.000114,0.126,0.09366834,0.6042176,0.002067636,0
"121",78487,0.435719,0.05053091,0.7947422,0.625,0.7284463,0.05585492,0.2459839,0.914,0.197,0.4743719,0.4922244,0.00478993,1
"122",13438,0.08276726,0.0599025,0.5348837,0.375,0.7600168,0.04445596,0.8714859,0,0.125,0.6130653,0.4232162,0.00323396,0
"123",141212,0.7516623,0.06995729,0.3447927,0.532,0.7065106,0.07699482,0.3684739,0.00405,0.101,0.1869347,0.4100585,0.004816888,0
"124",125005,0.666711,0.03325896,0.685541,0.308,0.6709021,0.5492228,0.9889558,1.68e-05,0.243,0.5005025,0.5413308,0.07026052,0
"125",42796,0.2491653,0.0563772,0.7917088,0.428,0.7339964,0.08870466,0.01014056,0.838,0.107,0.4492462,0.4660572,0.006843424,1
"126",168853,0.8954723,0.04325314,0.7300303,0.668,0.8187459,0.0373057,0.1295181,1.09e-06,0.172,0.5075377,0.5251568,0.003715262,1
"127",87271,0.4780885,0.05717775,0.6582406,0.749,0.8776309,0.0426943,0.188755,0,0.0723,0.9346734,0.6355149,0.003249137,1
"128",134874,0.7184676,0.1135483,0.3973711,0.763,0.8461227,0.04072539,0.002590361,1.24e-06,0.354,0.2462312,0.3598973,0.001585525,0
"129",35579,0.197952,0.1011989,0.7967644,0.593,0.7338094,0.0611399,0.01034137,0.631,0.06,0.8311558,0.5718655,0.00266552,1
"130",66384,0.3636521,0.07797305,0.5591507,0.441,0.7728322,0.03067358,0.07781124,0,0.256,0.1929648,0.609873,0.00172631,0
